Payee Name,Invoice Date,Invoice #,Vendor ID,Invoice Amount,Account Code ,Dates of service ,Mail Date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Amount Paid, Pymt Received
Humboldt State University – Art Department,9/11/20,NB091120C,,$500.00 ,4700-00000,3 Mo Subscription 9/8/2020 to 12/8/2020,9/11/20,,,,$500.00 ,10/13/20
University of the Pacific,9/11/20,NB091120D,,"$2,750.00 ",4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,9/11/20,10/15/20,,,"$2,750.00 ",10/27/20
Thiel College,9/11/20,NB091120E,,$500.00 ,4700-00000,3 Mo Subscription 9/10/2020 to 12/10/2020,9/11/20,,,,$500.00 ,10/5/20
Minnesota State University Moorhead,9/11/20,NB091120F,,"$3,000.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/11/20,,,,"$3,000.00 ",10/9/20
Saint Catherine University,9/11/20,NB091120G,,$391.00 ,4700-00000,3 Mo Subscription 9/9/2020 to 12/9/2020,9/11/20,,,,$390.89 ,9/17/20
"University of California, Davis",9/11/20,NB091120H,,$875.00 ,4700-00000,3 Mo Subscription 10/1/2020 to 12/31/2020,9/11/20,10/15/20,,11/3/20,Follow Up Email Sent,
"University of Wyoming, College of Education",9/11/20,NB091120I,,"$4,350.00 ",4700-00000,3 yr Subscription 9/1/2020 to 10/31/2023,9/11/20,10/15/20,,,"$4,350.00 ",10/27/20
Calvert County Public Schools,9/11/20,NB091120J,,"$1,840.00 ",4700-00000,1 yr Subscription 8/28/2020 to 8/31/2021,9/11/20,,,,"$1,840.00 ",10/17/20
University of Central Oklahoma,9/11/20,NB091120K,,$700.00 ,4700-00000,3 Mo Subscription 9/10/2020 to 12/10/2020,9/11/20,,,,$699.82 ,9/25/20
"Teachers College, Columbia University",9/11/20,NB091120L,,"$5,000.00 ",4700-00000,1 yr Subscription 9/11/2020 to 9/30/2021,9/11/20,,,,"$5,000.00 ",10/5/20
University of Rhode Island (School of Education),9/12/20,NB091220,,$750.00 ,4700-00000,3 Mo Subscription 9/14/2020 to 12/14/2020,9/12/20,,,,$750.00 ,10/14/20
University of Rhode Island (School of Education),9/12/20,NB091220A,,"$3,500.00 ",4700-00000,1 yr Subscription 9/14/2020 to 9/30/2021,9/12/20,,,,"$2,500.00 ",10/13/20
University of Louisiana at Lafayette,9/12/20,NB091220B,,$875.00 ,4700-00000,3 Mo Subscription 9/8/2020 to 11/8/2020,9/12/20,,,,$874.78 ,9/16/20
Pathway to Practice NC,9/12/20,NB091220C,,"$2,000.00 ",4700-00000,1 yr Subscription 11/1/2020 to 10/31/2021,9/12/20,,,,"$1,999.51 ",9/16/20
Ithaca College,9/13/20,NB091320,,$875.00 ,4700-00000,3 Mo Subscription 9/15/2020 to 11/30/2020,9/13/20,,,,Follow Up on 2-Nov-20,
UNC Wilmington,9/13/20,NB091320A,,"$7,500.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/13/20,,,,"$7,500.00 ",10/9/20
University of North Alabama,9/13/20,NB091320B,,$250.00 ,4700-00000,6 Mon Subscription 07/10/2020 to 01/10/2021,9/13/20,,,,$250.00 ,10/2/20
"CA State University, Stanislaus",9/13/20,NB091320C,,$700.00 ,4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,9/13/20,,,,$700.00 ,10/17/20
Mississippi State University Meridian,9/13/20,NB091320D,,"$1,000.00 ",4700-00000,6 Mon Subscription 07/21/2020 to 01/31/2021,9/13/20,,,,"$1,000.00 ",10/5/20
University of Texas at Tyler,9/13/20,NB091320E,,$355.00 ,4700-00000,6 Mon Subscription 09/4/2020 to 01/31/2021,9/13/20,,,,$355.00 ,10/2/20
Northern Virginia Community College,9/13/20,NB091320F,,"$1,750.00 ",4700-00000,6 Mon Subscription 10/1/2020 to 03/31/2021,9/13/20,,,,,
Alverno College,9/13/20,NB091320G,,"$2,750.00 ",4700-00000,1 yr Subscription 9/10/2020 to 7/30/2021,9/13/20,,,,"$2,750.00 ",9/28/20
"University of Kentucky, IHE",9/13/20,NB091320H,,$500.00 ,4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,9/13/20,,,,Follow Up on 2-Nov-20,
University of Maryland College of Education,9/15/20,NB091520,,"$3,500.00 ",4700-00000,1 yr Subscription 9/14/2020 to 9/30/2021,9/15/20,,,,,
University of Wisconsin-River Falls,9/17/20,NB091720,,$462.00 ,4700-00000,3 Mo Subscription 9/15/2020 to 12/15/2020,9/17/20,,,,$462.00 ,10/9/20
Bowling Green State University,9/17/20,NB091720A,,"$1,270.00 ",4700-00000,3 Mo Subscription 10/1/2020 to 12/30/2020,9/17/20,,,,,
Crowder College,9/17/20,NB091720B,,"$2,500.00 ",4700-00000,1 yr Subscription 9/19/2020 to 9/30/2021,9/17/20,,,,"$2,500.00 ",10/2/20
Aquinas College,9/17/20,NB091720C,,$875.00 ,4700-00000,6 Mon Subscription 10/1/2020 to 03/31/2021,9/17/20,,,,$875.00 ,10/2/20
University of Maryland,9/17/20,NB071720D,,$130.00 ,4700-00000,1 yr Subscription 8/8/2020 to 7/31/2021,7/30/20,,,9/9/20,Sent for Pay,
Metro RESA,9/18/20,NB091820,,"$4,500.00 ",4700-00000,1 yr Subscription 9/18/2020 to 9/30/2021,9/18/20,,,,"$4,500.00 ",10/9/20
Metro RESA,9/18/20,NB091820A,,"$3,000.00 ",4700-00000,1 yr Subscription 9/18/2020 to 9/30/2021,9/18/20,,,,,
Saint Joseph’s College of Maine,9/18/20,NB091820B,,"$2,250.00 ",4700-00000,1 yr Subscription 9/21/2020 to 9/30/2021,9/18/20,,,,"$2,250.00 ",10/9/20
"CA State University, Stanislaus",9/21/20,NB092120,,$360.00 ,4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,9/21/20,,,,$360.00 ,10/17/20
Yakima Valley College,9/21/20,NB092120A,,"$1,030.00 ",4700-00000,6 Mon Subscription 9/18/2020 to 03/18/2021,9/21/20,,,,"$1,030.00 ",10/21/20
University of San Francisco,9/21/20,NB092120B,,$100.00 ,4700-00000,1 yr Subscription 4/15/2020 to 4/30/2021,9/21/20,,,,$100.00 ,10/9/20
Houghton College,9/21/20,NB092120C,,"$2,500.00 ",4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,9/21/20,,,,"$2,500.00 ",10/2/20
University of Georgia,9/21/20,NB092120D,,"$4,500.00 ",4700-00000,1 yr Subscription 9/18/2020 to 9/30/2021,9/21/20,,,,,
University of Montevallo,9/22/20,NB092220,,$750.00 ,4700-00000,6 Mon Subscription 9/1/2020 to 03/31/2021,9/22/20,,,,$750.00 ,10/2/20
The Citadel Zucker Family School of Education,9/22/20,NB092220A,,$125.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/31/2020,9/22/20,,,,$125.00 ,10/17/20
Ball State University,9/24/20,NB092420,,"$3,250.00 ",4700-00000,3 Mo Subscription 9/24/2020 to 12/24/2020,9/24/20,,,,"$3,250.00 ",9/28/20
Morehead State University,9/24/20,NB092420A,,"$1,000.00 ",4700-00000,1 yr Subscription 7/7/2020 to 6/30/2021,9/24/20,,,,"$1,000.00 ",10/9/20
CA State University Dominguez Hills,9/24/20,NB092420B,,"$2,125.00 ",4700-00000,3 Mo Subscription 9/21/2020 to 12/21/2020,9/24/20,,,,,
Washington State University,9/24/20,NB092420C,,"$2,500.00 ",4700-00000,1 yr Subscription 9/22/2020 to 9/30/2021,9/24/20,,,,"$2,500.00 ",10/8/20
University of North Florida,9/24/20,NB092420D,,"$1,400.00 ",4700-00000,6 Mon Subscription 9/9/2020 to 03/9/2021,9/24/20,,,,"$1,400.00 ",10/9/20
Rochester Institute of Technology,9/25/20,NB092520,,$800.00 ,4700-00000,6 Mon Subscription 9/24/2020 to 03/24/2021,9/25/20,,,,$799.50 ,10/2/20
Lehigh Carbon Community College,9/29/20,NB092920,,"$2,250.00 ",4700-00000,1 yr Subscription 9/28/2020 to 9/30/2021,9/29/20,,,,"$2,250.00 ",11/3/20
Skidmore College,9/29/20,,,$50.00 ,4700-00000,1 yr Subscription 7/15/2020 to 7/14/2021,9/29/20,,,,$50.00 ,9/28/20
University of Maryland Baltimore County,9/30/20,NB093020,,"$2,500.00 ",4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,9/30/20,,,,,
Salisbury University,10/1/20,NB100120,,"$3,250.00 ",4700-00000,6 Mon Subscription 10/1/2020 to 03/31/2021,10/1/20,,,,"$3,250.00 ",11/3/20
Minnesota State University Moorhead,10/1/20,NB100120A,,$100.00 ,4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,10/1/20,,,,$100.00 ,10/21/20
"CA State University, Stanislaus",10/1/20,NB100120B,,$190.00 ,4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,10/1/20,,,,$190.00 ,10/27/20
University of Maryland College of Education,10/1/20,NB100120C,,$500.00 ,4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,10/1/20,,,,,
Bellarmine University,10/1/20,NB100120D,,$200.00 ,4700-00000,1 yr Subscription 5/4/2020 to 4/30/2021,10/1/20,,,,$200.00 ,11/3/20
Miami University,10/1/20,NB100120E,,"$1,250.00 ",4700-00000,3 Mo Subscription 9/15/2020 to 12/15/2020,10/1/20,,,,"$1,250.00 ",10/27/20
University of North Texas,10/2/20,NB100220,,"$3,000.00 ",4700-00000,1 yr Subscription 10/2/2020 to 9/30/2021,10/2/20,,,,"$3,000.00 ",10/6/20
Hudson Valley Community College,10/2/20,NB100220A,,$400.00 ,4700-00000,3 Mo Subscription 10/2/2020 to 12/31/2020,10/2/20,,,,$400.00 ,10/21/20
Modesto Junior College,9/1/20,NB090820L,,"$1,500.00 ",4700-00000,6 Mon Subscription 8/31/2020 to 02/28/2021,9/1/20,,,,"$1,500.00 ",10/2/20
"BloomBoard, Inc",10/7/20,NB100720,,"$15,520.00 ",4700-00000,2020 Yearly Invoice ending 9/26/2020,10/7/20,,,,"$15,000.00 ",10/27/20
Niagara University,10/7/20,NB100820,,"$3,500.00 ",4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,10/7/20,,,,,
University of Michigan-Dearborn,10/7/20,NB100820A,,$450.00 ,4700-00000,3 Mo Subscription 10/2/2020 to 12/31/2020,10/7/20,,,,,
Northern Illinois University,10/7/20,NB100820B,,"$8,880.00 ",4700-00000,1 yr Subscription 9/17/2020 to 9/30/2021,10/7/20,,,,"$8,880.00 ",11/3/20
Middlesex County College,10/7/20,NB100820C,,$200.00 ,4700-00000,30 Days 10/15/2020 to 11/14/2020,10/7/20,,,,$200.00 ,10/21/20
City University of New York,10/7/20,NB100820D,,$495.00 ,4700-00000,6 Mon Subscription 7/1/2020 to 12/30/2020,10/7/20,,,,$495.00 ,10/19/20
Ripon College,10/7/20,NB100820F,,"$1,900.00 ",4700-00000,1 yr Subscription 10/15/2020 to 10/31/2021,10/7/20,,,,"$1,900.00 ",10/27/20
San Jose State University,10/7/20,NB100820G,,$200.00 ,4700-00000,1 yr Subscription 5/31/2020 to 5/31/2021,10/7/20,,,,,
Western Washington University,10/7/20,NB100820H,,$700.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/31/2020,10/7/20,,,,$700.00 ,10/13/20
Valdosta State University,10/7/20,NB100820I,,"$1,625.00 ",4700-00000,3 Mo Subscription 10/7/2020 to 12/31/2020,10/7/20,,,,,
Crowley’s Ridge College,10/7/20,NB100820J,,$395.00 ,4700-00000,3 Mo Subscription 10/7/2020 to 12/31/2020,10/7/20,,,,$395.00 ,10/27/20
Alderson Broaddus University,10/7/20,NB100820K,,$500.00 ,4700-00000,3 Mo Subscription 10/2/2020 to 12/31/2020,10/7/20,,,,$500.00 ,10/13/20
University of Arkansas,10/9/20,NB100920,,"$3,250.00 ",4700-00000,6 Mon Subscription 10/7/2020 to 4/7/2021,10/9/20,,,,"$3,250.00 ",10/19/20
Bureau of Indian Affairs,10/9/20,NB100920A,,"$21,000.00 ",4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,10/9/20,,,,,
Southern Illinois University Edwardsville,10/13/20,NB101320A,,"$4,700.00 ",4700-00000,1 yr Subscription 10/9/2020 to 9/30/2021,10/13/20,,,,,
University of Southern Mississippi,10/13/20,NB101320B,,"$1,200.00 ",4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,10/13/20,,,,"$1,200.00 ",11/3/20
Winthrop University,10/13/20,NB101320C,,"$1,000.00 ",4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,10/13/20,,,,,
University of Wisconsin Stevens Point,10/15/20,NB101520,,"$4,500.00 ",4700-00000,1 yr Subscription 9/8/2020 to 8/31/2021,10/15/20,,,,,
Capital University,10/15/20,NB101520A,,"$1,640.00 ",4700-00000,1 yr Subscription 10/14/2020 to 10/31/2021,10/15/20,,,,"$1,640.00 ",10/15/20
University of Rochester-Warner School,10/16/20,NB101620,,"$4,800.00 ",4700-00000,3 yr Subscription 10/20/2020 to 10/31/2023,10/16/20,,,,,
University of Louisville,10/16/20,NB101620A,,"$4,500.00 ",4700-00000,1 yr Subscription 10/6/2020 to 10/5/2021,10/16/20,,,,"$4,500.00 ",10/21/20
Indiana Universities Libraries,10/16/20,NB101620B,,"$6,500.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,10/16/20,,,,"$6,500.00 ",11/3/20
University of North Florida,10/16/20,NB101620C,,$75.00 ,4700-00000,6 Mon Subscription 9/9/2020 to 3/9/2021,10/16/20,,,,,
Prince George’s Community College,10/19/20,NB101920,,$500.00 ,4700-00000,6 Mon Subscription 10/23/2020 to 4/23/2021,10/19/20,,,,$500.00 ,11/3/20
University of Wisconsin-River Falls,10/19/20,NB101920A,,"$2,500.00 ",4700-00000,1 yr Subscription 9/8/2020 to 10/31/2021,10/19/20,,,,"$2,500.00 ",11/3/20
Niagara University,10/19/20,NB101920B,,$410.00 ,4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,10/19/20,,,,,
Pierce College,10/20/20,NB102020,,$750.00 ,4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,10/20/20,,,,$750.00 ,10/21/20
The State University of New York (SUNY),10/20/20,NB102020A,,"$16,052.00 ",4700-00000,3 Mo Subscription 8/20/2020 to 12/12/2020,10/20/20,,,,,
Brown University,10/22/20,NB102020,,$425.00 ,4700-00000,3 Mo Subscription 11/1/2020 to 1/31/2021,10/22/20,,,,,
Mississippi State University Meridian,10/22/20,NB102020A,,$100.00 ,4700-00000,6 Mon Subscription 7/21/2020 to 1/31/2021,10/22/20,,,,,
Purdue University Fort Wayne,10/22/20,NB102020B,,"$5,000.00 ",4700-00000,1 yr Subscription 9/28/2020 to 9/30/2021,10/22/20,,,,,
Winston-Salem State University,10/23/20,NB102220C,,$562.00 ,4700-00000,3 Mo Subscription 10/22/2020 to 1/22/2020,10/23/20,,,,,
University of North Florida,10/23/20,NB102320,,$100.00 ,4700-00000,6 Mon Subscription 9/9/2020 to 3/9/2021,10/23/20,,,,,
Niagara University,10/28/20,NB102320,,$300.00 ,4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,10/28/20,,,,,
University of St. Thomas,10/30/20,NB103020,,"$3,366.00 ",4700-00000,1 yr Subscription 11/7/2020 to 10/31/2021,10/30/20,,,,,
Rio Salado College,11/2/20,NB110220,,"$26,250.00 ",4700-00000,3 yr Subscription 10/31/2020 to 10/31/2023,11/2/20,,,,,
LaGrange College,11/2/20,NB110220A,,$500.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,11/2/20,,,,,
University of Texas at San Antonio,11/2/20,NB110220B,,"$2,500.00 ",4700-00000,1 yr Subscription 11/2/2020 to 10/31/2021,11/2/20,,,,,
Santa Rosa County District Schools,11/2/20,NB110220C,,"$3,500.00 ",4700-00000,1 yr Subscription 11/2/2020 to 10/31/2021,11/2/20,,,,,
Prince George’s Community College,11/3/20,NB101920,,$40.00 ,4700-00000,6 Mon Subscription 10/23/2020 to 4/23/2021,11/3/20,,,,$40.00 ,11/3/20
Lewis University,11/3/20,NB110320,,$500.00 ,4700-00000,1 yr Subscription 8/21/2020 to 8/31/2021,11/3/20,,,,,
Saint Xavier University,11/3/20,NB110320A,,$200.00 ,4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,11/3/20,,,,,
Arkansas Northeastern College,11/4/20,NB110420,,"$1,700.00 ",4700-00000,1 yr Subscription 10/19/2020 to 10/31/2021,11/4/20,,,,,
"University of California, Riverside",11/4/20,NB110420A,,"$2,250.00 ",4700-00000,1 yr Subscription 12/31/2020 to 12/31/2021,11/4/20,,,,,
NHTI-Concord’s Community College,11/4/20,NB110420B,,"$2,000.00 ",4700-00000,1 yr Subscription 11/3/2020 to 10/31/2021,11/4/20,,,,,
State Fair Community College,11/6/20,NB110620,,"$6,000.00 ",4700-00000,3 yr Subscription 1/1/2021 to 12/31/2023,11/6/20,,,,,
Siena College,11/6/20,NB110620A,,"$1,525.00 ",4700-00000,6 Mon Subscription 2/28/2021 to 5/31/2021,11/6/20,,,,,
Presbyterian College Education Department,11/9/20,NB110920,,"$1,000.00 ",4700-00000,6 Mon Subscription 1/25/2021 to 7/25/2021,11/9/20,,,,,
nan,,,,,,,1/0/00,,,,,
nan,,,,,,,1/0/00,,,,,
nan,,,,,,,1/0/00,,,,,
nan,,,,,,,1/0/00,,,,,
nan,,,,,,,1/0/00,,,,,
nan,,,,,,,1/0/00,,,,,
nan,,,,,,,,,,,,
nan,,,,,,,,,,,,
nan,,,,"$1,051,447.22 ",,Balance:,,,,,"$853,917.25 ",
nan,,,,,,"$197,529.97 ",,,,,,
nan,,,,Aug-19 to Dec-19,ATLAS,,,,,,,
